Date,Not indexed,Indexed,Impressions
2026-03-11,,,0
2026-03-12,,,1
2026-03-13,,,369
2026-03-14,,,1605
2026-03-15,1464,158,2059
2026-03-16,1464,161,1764
2026-03-17,1464,161,21
2026-03-18,1553,544,60
2026-03-19,1553,544,140
2026-03-20,1553,544,104
2026-03-21,1553,544,115
2026-03-22,1703,591,93
2026-03-23,1703,591,61
2026-03-24,1703,591,38
2026-03-25,1873,652,34
2026-03-26,1873,652,54
2026-03-27,1873,652,47
2026-03-28,1873,652,53
2026-03-29,2467,877,62
2026-03-30,2467,877,78
2026-03-31,2467,877,75
2026-04-01,2467,878,86
2026-04-02,2467,878,81
2026-04-03,2467,878,79
2026-04-04,2467,878,90